k,p,member,base,difference,additive,multiplicative,exponential_E1,exponential_E2,K_pure,K_royal_addition,K_royal_flat
7420,179135771,179135773,179135771,2,179135771 + 2,,,,,,
7420,179135771,179135777,179135771,6,179135771 + (2*3),,,,,,
7420,179135771,179135779,179135777,2,179135777 + 2,,,,,,
7421,179169581,179169581,179135779,33802,179135779 + 31729 + 1879 + 191 + 3,179135779 + (16069*2) + (199*7) + (19*5) + (17*3) + 101 + 13 + 11,179135779 + (109^2) + (19^3) + (2089*7) + (13*11) + 193 + 103,179135779 + (7^5) + (109^2) + (13^3) + (199*11) + (19*17) + 197 + 107 + 101,2,2,2
7421,179169581,179169583,179169581,2,179169581 + 2,,,,,,
7421,179169581,179169587,179169581,6,179169581 + (2*3),,,,,,
7421,179169581,179169589,179169587,2,179169587 + 2,,,,,,
7422,179197091,179197091,179169589,27502,179169589 + 25309 + 2089 + 101 + 3,179169589 + (13009*2) + (199*7) + (13*3) + 19 + 17 + 11 + 5,179169589 + (109^2) + (19^3) + (1489*5) + (107*11) + 103 + 17 + 13 + 7,179169589 + (7^5) + (103^2) + (13*3) + 19 + 17 + 11,4,3,3
7422,179197091,179197093,179197091,2,179197091 + 2,,,,,,
7422,179197091,179197097,179197091,6,179197091 + (2*3),,,,,,
7422,179197091,179197099,179197097,2,179197097 + 2,,,,,,
7423,179268911,179268911,179197099,71812,179197099 + 69499 + 2089 + 199 + 19 + (2*3),179197099 + (34849*2) + (199*7) + (197*3) + 101 + 13 + 11 + 5,179197099 + (199^2) + (19^3) + (7^5) + (197*17) + (193*13) + 829 + 827 + 823 + 107 + 101,179197099 + (199^2) + (7^5) + (19^3) + (197*17) + (193*13) + 829 + 827 + 823 + 107 + 101,4,4,4
7423,179268911,179268913,179268911,2,179268911 + 2,,,,,,
7423,179268911,179268917,179268911,6,179268911 + (2*3),,,,,,
7423,179268911,179268919,179268917,2,179268917 + 2,,,,,,
7424,179275331,179275331,179268919,6412,179268919 + 5659 + 199 + 197 + 193 + 109 + 19 + 17 + (2*7) + 5,179268919 + (2089*3) + (19*5) + (13*2) + 17 + 7,179268919 + (19^2) + (17^3) + (199*5) + (13*11),179268919 + (17^3) + (19^2) + (199*5) + (13*11),4,4,4
7424,179275331,179275333,179275331,2,179275331 + 2,,,,,,
7424,179275331,179275337,179275331,6,179275331 + (2*3),,,,,,
7424,179275331,179275339,179275337,2,179275337 + 2,,,,,,
7425,179331401,179331401,179275339,56062,179275339 + 55339 + 199 + 197 + 193 + 109 + 19 + (2*3),179275339 + (25309*2) + (1489*3) + (109*7) + (19*11) + 5,179275339 + (199^2) + (19^3) + (1879*5) + (17*11) + 13 + 7,179275339 + (199^2) + (19^3) + (1879*5) + (17*11) + 13 + 7,4,4,4
7425,179331401,179331403,179331401,2,179331401 + 2,,,,,,
7425,179331401,179331407,179331401,6,179331401 + (2*3),,,,,,
7425,179331401,179331409,179331407,2,179331407 + 2,,,,,,
7426,179412971,179412971,179331409,81562,179331409 + 81049 + 199 + 197 + 109 + 5 + 3,179331409 + (34849*2) + (3469*3) + (199*5) + (19*13) + 197 + 11 + 7,179331409 + (199^2) + (19^3) + (7^5) + (1489*11) + (17*13) + 1487 + 107 + 101,179331409 + (5^7) + (13^3) + (19^2) + (17*11) + 199 + 197 + 193 + 103,2,2,2
7426,179412971,179412973,179412971,2,179412971 + 2,,,,,,
7426,179412971,179412977,179412971,6,179412971 + (2*3),,,,,,
7426,179412971,179412979,179412977,2,179412977 + 2,,,,,,
7427,179414861,179414861,179412979,1882,179412979 + 1879 + 3,179412979 + (829*2) + (19*11) + (5*3),179412979 + (19^2) + (11^3) + (13*5) + 101 + 17 + 7,179412979 + (11^3) + (19^2) + (13*5) + 101 + 17 + 7,2,2,2
7427,179414861,179414863,179414861,2,179414861 + 2,,,,,,
7427,179414861,179414867,179414861,6,179414861 + (2*3),,,,,,
7427,179414861,179414869,179414867,2,179414867 + 2,,,,,,
7428,179433041,179433041,179414869,18172,179414869 + 18049 + 109 + 7 + 5 + 2,179414869 + (5659*3) + (199*5) + (17*11) + 13,179414869 + (109^2) + (17^3) + (199*5) + (19*7) + (13*11) + 107,179414869 + (7^5) + (11^3) + (17*2),4,3,3
7428,179433041,179433043,179433041,2,179433041 + 2,,,,,,
7428,179433041,179433047,179433041,6,179433041 + (2*3),,,,,,
7428,179433041,179433049,179433047,2,179433047 + 2,,,,,,
7429,179485511,179485511,179433049,52462,179433049 + 51349 + 829 + 199 + 19 + 17 + 11 + (5*7) + 3,179433049 + (25309*2) + (199*7) + (109*3) + 107 + 17,179433049 + (199^2) + (19^3) + (829*7) + (17*5) + 103 + 11,179433049 + (199^2) + (19^3) + (829*7) + (17*5) + 103 + 11,4,4,4
7429,179485511,179485513,179485511,2,179485511 + 2,,,,,,
7429,179485511,179485517,179485511,6,179485511 + (2*3),,,,,,
7429,179485511,179485519,179485517,2,179485517 + 2,,,,,,
7430,179509481,179509481,179485519,23962,179485519 + 22279 + 1489 + 191 + 3,179485519 + (9439*2) + (1489*3) + (103*5) + (13*7) + 11,179485519 + (109^2) + (19^3) + (829*5) + (107*7) + 199 + 101 + 17 + 11,179485519 + (7^5) + (19^3) + (17*11) + 109,4,4,4
7430,179509481,179509483,179509481,2,179509481 + 2,,,,,,
7430,179509481,179509487,179509481,6,179509481 + (2*3),,,,,,
7430,179509481,179509489,179509487,2,179509487 + 2,,,,,,
7431,179515871,179515871,179509489,6382,179509489 + 5659 + 199 + 197 + 193 + 109 + 19 + (2*3),179509489 + (2089*3) + (19*5) + 13 + 7,179509489 + (19^2) + (17^3) + (197*5) + 103 + 13 + 7,179509489 + (17^3) + (19^2) + (197*5) + 103 + 13 + 7,4,4,4
7431,179515871,179515873,179515871,2,179515871 + 2,,,,,,
7431,179515871,179515877,179515871,6,179515871 + (2*3),,,,,,
7431,179515871,179515879,179515877,2,179515877 + 2,,,,,,
7432,179633891,179633891,179515879,118012,179515879 + 116539 + 829 + 199 + 197 + 193 + 19 + 17 + (2*7) + 5,179515879 + (55339*2) + (2089*3) + (193*5) + (13*7) + 11,179515879 + (199^2) + (19^3) + (7^5) + (3469*13) + (829*11) + 193 + 109 + 107 + 103 + 17,179515879 + (5^7) + (199^2) + (19*3) + 109 + 107 + 13,2,2,2
7432,179633891,179633893,179633891,2,179633891 + 2,,,,,,
7432,179633891,179633897,179633891,6,179633891 + (2*3),,,,,,
7432,179633891,179633899,179633897,2,179633897 + 2,,,,,,
7433,179663171,179663171,179633899,29272,179633899 + 25309 + 3469 + 199 + 197 + 19 + 17 + 13 + 11 + (5*7) + 3,179633899 + (13009*2) + (829*3) + (109*5) + (19*11) + 13,179633899 + (109^2) + (19^3) + (2081*5) + 107 + 13 + 7,179633899 + (7^5) + (109^2) + (191*3) + 11,4,4,4
7433,179663171,179663173,179663171,2,179663171 + 2,,,,,,
7433,179663171,179663177,179663171,6,179663171 + (2*3),,,,,,
7433,179663171,179663179,179663177,2,179663177 + 2,,,,,,
7434,179680211,179680211,179663179,17032,179663179 + 16069 + 829 + 109 + 19 + (2*3),179663179 + (5659*3) + (19*2) + 17,179663179 + (109^2) + (17^3) + (19*5) + (13*11),179663179 + (7^5) + (11^2) + 101 + 3,6,5,4
7434,179680211,179680213,179680211,2,179680211 + 2,,,,,,
7434,179680211,179680217,179680211,6,179680211 + (2*3),,,,,,
7434,179680211,179680219,179680217,2,179680217 + 2,,,,,,
7435,179689121,179689121,179680219,8902,179680219 + 5659 + 2089 + 829 + 199 + 109 + 17,179680219 + (3469*2) + (199*7) + (109*3) + (19*11) + 17 + 13 + 5,179680219 + (19^3) + (17^2) + (199*7) + (13*5) + 193 + 103,179680219 + (2^13) + (3^5) + (19*7) + 199 + 107 + 17 + 11,2,2,2
7435,179689121,179689123,179689121,2,179689121 + 2,,,,,,
7435,179689121,179689127,179689121,6,179689121 + (2*3),,,,,,
7435,179689121,179689129,179689127,2,179689127 + 2,,,,,,
7436,179740991,179740991,179689129,51862,179689129 + 51349 + 199 + 197 + 109 + 5 + 3,179689129 + (25309*2) + (199*5) + (19*11) + 17 + 13 + 7 + 3,179689129 + (199^2) + (19^3) + (829*5) + (109*7) + (17*11) + 193 + 101 + 13,179689129 + (199^2) + (19^3) + (829*5) + (109*7) + (17*11) + 193 + 101 + 13,4,4,4
7436,179740991,179740993,179740991,2,179740991 + 2,,,,,,
7436,179740991,179740997,179740991,6,179740991 + (2*3),,,,,,
7436,179740991,179740999,179740997,2,179740997 + 2,,,,,,
7437,179746241,179746241,179740999,5242,179740999 + 3469 + 1489 + 199 + 19 + 17 + 11 + (5*7) + 3,179740999 + (2089*2) + (199*5) + (17*3) + 11 + 7,179740999 + (19^2) + (13^3) + (199*11) + (17*5) + 193 + 109 + 101 + 7,179740999 + (17^3) + (11^2) + 107 + 101,4,4,4
7437,179746241,179746243,179746241,2,179746241 + 2,,,,,,
7437,179746241,179746247,179746241,6,179746241 + (2*3),,,,,,
7437,179746241,179746249,179746247,2,179746247 + 2,,,,,,
7438,179751491,179751491,179746249,5242,179746249 + 3469 + 1489 + 199 + 19 + 17 + 11 + (5*7) + 3,179746249 + (2089*2) + (199*5) + (17*3) + 11 + 7,179746249 + (19^2) + (13^3) + (199*11) + (17*5) + 193 + 109 + 101 + 7,179746249 + (17^3) + (11^2) + 107 + 101,4,4,4
7438,179751491,179751493,179751491,2,179751491 + 2,,,,,,
7438,179751491,179751497,179751491,6,179751491 + (2*3),,,,,,
7438,179751491,179751499,179751497,2,179751497 + 2,,,,,,
7439,179769761,179769761,179751499,18262,179751499 + 18049 + 199 + 7 + 5 + 2,179751499 + (5659*3) + (199*5) + (19*7) + (13*2) + 103 + 17 + 11,179751499 + (109^2) + (17^3) + (199*5) + (19*13) + 107 + 101 + 11 + 7,179751499 + (7^5) + (11^3) + 109 + 13 + 2,4,3,3
7439,179769761,179769763,179769761,2,179769761 + 2,,,,,,
7439,179769761,179769767,179769761,6,179769761 + (2*3),,,,,,
7439,179769761,179769769,179769767,2,179769767 + 2,,,,,,
7440,179795711,179795711,179769769,25942,179769769 + 25309 + 199 + 197 + 193 + 19 + 17 + 5 + 3,179769769 + (9439*2) + (2089*3) + (109*5) + (17*7) + 103 + 19 + 11,179769769 + (109^2) + (19^3) + (829*7) + (199*5) + (17*11) + 103 + 101 + 13,179769769 + (7^5) + (2^13) + (193*3) + 109 + 107 + 101 + 19 + 17 + 11,4,4,4
7440,179795711,179795713,179795711,2,179795711 + 2,,,,,,
7440,179795711,179795717,179795711,6,179795711 + (2*3),,,,,,
7440,179795711,179795719,179795717,2,179795717 + 2,,,,,,
7441,179803691,179803691,179795719,7972,179795719 + 5659 + 2089 + 199 + 19 + (2*3),179795719 + (3469*2) + (199*5) + (13*3),179795719 + (19^3) + (17^2) + (107*5) + (11*7) + 199 + 13,179795719 + (19^3) + (17^2) + (107*5) + (11*7) + 199 + 13,4,4,4
7441,179803691,179803693,179803691,2,179803691 + 2,,,,,,
7441,179803691,179803697,179803691,6,179803691 + (2*3),,,,,,
7441,179803691,179803699,179803697,2,179803697 + 2,,,,,,
7442,179819441,179819441,179803699,15742,179803699 + 15739 + 3,179803699 + (5659*2) + (829*5) + (19*13) + (7*3) + 11,179803699 + (109^2) + (13^3) + (199*7) + (11*5) + 197 + 19,179803699 + (109^2) + (13^3) + (199*7) + (11*5) + 197 + 19,2,2,2
7442,179819441,179819443,179819441,2,179819441 + 2,,,,,,
7442,179819441,179819447,179819441,6,179819441 + (2*3),,,,,,
7442,179819441,179819449,179819447,2,179819447 + 2,,,,,,
7443,179824361,179824361,179819449,4912,179819449 + 3469 + 829 + 199 + 197 + 193 + 19 + (2*3),179819449 + (2089*2) + (199*3) + (17*7) + 13 + 5,179819449 + (19^2) + (13^3) + (199*7) + (109*5) + 197 + 191 + 17 + 11,179819449 + (13^3) + (2^11) + (109*5) + 103 + 19,4,4,4
7443,179824361,179824363,179824361,2,179824361 + 2,,,,,,
7443,179824361,179824367,179824361,6,179824361 + (2*3),,,,,,
7443,179824361,179824369,179824367,2,179824367 + 2,,,,,,
7444,179828351,179828351,179824369,3982,179824369 + 3469 + 199 + 197 + 109 + 5 + 3,179824369 + (1879*2) + (19*11) + (5*3),179824369 + (19^2) + (13^3) + (199*5) + 197 + 107 + 101 + 17 + 7,179824369 + (13^3) + (19^2) + (199*5) + 197 + 107 + 101 + 17 + 7,4,3,3
7444,179828351,179828353,179828351,2,179828351 + 2,,,,,,
7444,179828351,179828357,179828351,6,179828351 + (2*3),,,,,,
7444,179828351,179828359,179828357,2,179828357 + 2,,,,,,
7445,179830661,179830661,179828359,2302,179828359 + 2089 + 199 + 7 + 5 + 2,179828359 + (829*2) + (199*3) + 19 + 17 + 11,179828359 + (19^2) + (11^3) + (17*13) + 193 + 191 + 5,179828359 + (13^3) + (17*5) + 11 + 7 + 2,2,2,2
7445,179830661,179830663,179830661,2,179830661 + 2,,,,,,
7445,179830661,179830667,179830661,6,179830661 + (2*3),,,,,,
7445,179830661,179830669,179830667,2,179830667 + 2,,,,,,
7446,179868971,179868971,179830669,38302,179830669 + 34849 + 3259 + 191 + 3,179830669 + (18919*2) + (109*3) + (17*7) + 13 + 5,179830669 + (193^2) + (7^3) + (19*17) + (13*5) + 107 + 103 + 101 + 11,179830669 + (193^2) + (7^3) + (19*17) + (13*5) + 107 + 103 + 101 + 11,2,2,2
7446,179868971,179868973,179868971,2,179868971 + 2,,,,,,
7446,179868971,179868977,179868971,6,179868971 + (2*3),,,,,,
7446,179868971,179868979,179868977,2,179868977 + 2,,,,,,
7447,180021221,180021221,179868979,152242,179868979 + 144169 + 5659 + 2089 + 199 + 109 + 17,179868979 + (72229*2) + (2089*3) + (199*7) + 107 + 17,179868979 + (199^2) + (19^3) + (7^5) + (5659*13) + (829*11) + (193*17) + 1879 + 823 + 197 + 109,179868979 + (2^17) + (7^5) + (13^3) + (103*11) + 823 + 191 + 19,4,3,3
7447,180021221,180021223,180021221,2,180021221 + 2,,,,,,
7447,180021221,180021227,180021221,6,180021221 + (2*3),,,,,,
7447,180021221,180021229,180021227,2,180021227 + 2,,,,,,
7448,180039311,180039311,180021229,18082,180021229 + 18049 + 19 + 7 + 5 + 2,180021229 + (5659*3) + (199*5) + (13*7) + 19,180021229 + (109^2) + (17^3) + (199*5) + (13*7) + 191 + 11,180021229 + (7^5) + (19^2) + (199*3) + 197 + 109 + 11,4,3,2
7448,180039311,180039313,180039311,2,180039311 + 2,,,,,,
7448,180039311,180039317,180039311,6,180039311 + (2*3),,,,,,
7448,180039311,180039319,180039317,2,180039317 + 2,,,,,,
7449,180063971,180063971,180039319,24652,180039319 + 22279 + 2089 + 199 + 19 + 17 + 11 + (5*7) + 3,180039319 + (9439*2) + (1879*3) + (17*7) + 13 + 5,180039319 + (109^2) + (19^3) + (829*7) + (17*5) + 13 + 11,180039319 + (7^5) + (19^3) + (17^2) + 199 + 193 + 191 + 103 + 11,4,4,4
7449,180063971,180063973,180063971,2,180063971 + 2,,,,,,
7449,180063971,180063977,180063971,6,180063971 + (2*3),,,,,,
7449,180063971,180063979,180063977,2,180063977 + 2,,,,,,
7450,180090011,180090011,180063979,26032,180063979 + 25309 + 199 + 197 + 193 + 109 + 19 + (2*3),180063979 + (13009*2) + 11 + 3,180063979 + (109^2) + (19^3) + (829*7) + (199*5) + (17*11) + 193 + 101 + 13,180063979 + (7^5) + (2^13) + (199*3) + (19*11) + 109 + 101 + 17,4,4,3
7450,180090011,180090013,180090011,2,180090011 + 2,,,,,,
7450,180090011,180090017,180090011,6,180090011 + (2*3),,,,,,
7450,180090011,180090019,180090017,2,180090017 + 2,,,,,,
7451,180104801,180104801,180090019,14782,180090019 + 13009 + 1489 + 199 + 19 + 17 + 11 + (5*7) + 3,180090019 + (5659*2) + (829*3) + (109*7) + (19*11) + 5,180090019 + (109^2) + (13^3) + (101*5) + (11*7) + 103 + 19,180090019 + (109^2) + (13^3) + (101*5) + (11*7) + 103 + 19,4,4,4
7451,180104801,180104803,180104801,2,180104801 + 2,,,,,,
7451,180104801,180104807,180104801,6,180104801 + (2*3),,,,,,
7451,180104801,180104809,180104807,2,180104807 + 2,,,,,,
7452,180140291,180140291,180104809,35482,180104809 + 34849 + 199 + 197 + 193 + 19 + 17 + 5 + 3,180104809 + (16069*2) + (829*3) + (109*5) + (19*11) + 103,180104809 + (109^2) + (19^3) + (3259*5) + (17*13) + 107 + 101 + 11 + 7,180104809 + (7^5) + (109^2) + (17^3) + (19*11) + 1481 + 191,2,2,2
7452,180140291,180140293,180140291,2,180140291 + 2,,,,,,
7452,180140291,180140297,180140291,6,180140291 + (2*3),,,,,,
7452,180140291,180140299,180140297,2,180140297 + 2,,,,,,
7453,180177071,180177071,180140299,36772,180140299 + 34849 + 1879 + 19 + 17 + 5 + 3,180140299 + (18049*2) + (199*3) + (11*7),180140299 + (191^2) + (3^5) + 17 + 13 + 11 + 7,180140299 + (191^2) + (3^5) + 17 + 13 + 11 + 7,4,3,3
7453,180177071,180177073,180177071,2,180177071 + 2,,,,,,
7453,180177071,180177077,180177071,6,180177071 + (2*3),,,,,,
7453,180177071,180177079,180177077,2,180177077 + 2,,,,,,
7454,180181361,180181361,180177079,4282,180177079 + 3469 + 199 + 197 + 193 + 191 + 19 + 7 + 5 + 2,180177079 + (2089*2) + (17*5) + 19,180177079 + (19^2) + (13^3) + (199*7) + 197 + 101 + 17 + 11 + 5,180177079 + (13^3) + (19^2) + (199*7) + 197 + 101 + 17 + 11 + 5,2,2,2
7454,180181361,180181363,180181361,2,180181361 + 2,,,,,,
7454,180181361,180181367,180181361,6,180181361 + (2*3),,,,,,
7454,180181361,180181369,180181367,2,180181367 + 2,,,,,,
7455,180190721,180190721,180181369,9352,180181369 + 5659 + 3469 + 199 + 19 + (2*3),180181369 + (3469*2) + (199*11) + (19*5) + (7*3) + 109,180181369 + (19^3) + (17^2) + (199*7) + (101*5) + 197 + 109,180181369 + (2^13) + (7^3) + (103*5) + 193 + 109,6,5,4
7455,180190721,180190723,180190721,2,180190721 + 2,,,,,,
7455,180190721,180190727,180190721,6,180190721 + (2*3),,,,,,
7455,180190721,180190729,180190727,2,180190727 + 2,,,,,,
7456,180244451,180244451,180190729,53722,180190729 + 51349 + 2089 + 199 + 19 + 17 + 11 + (5*7) + 3,180190729 + (25309*2) + (829*3) + (103*5) + (13*7) + 11,180190729 + (199^2) + (19^3) + (829*7) + (193*5) + (17*11) + 191 + 103 + 13,180190729 + (199^2) + (19^3) + (829*7) + (193*5) + (17*11) + 191 + 103 + 13,4,4,4
7456,180244451,180244453,180244451,2,180244451 + 2,,,,,,
7456,180244451,180244457,180244451,6,180244451 + (2*3),,,,,,
7456,180244451,180244459,180244457,2,180244457 + 2,,,,,,
7457,180251411,180251411,180244459,6952,180244459 + 5659 + 829 + 199 + 197 + 19 + 17 + 13 + (2*7) + 5,180244459 + (3469*2) + 11 + 3,180244459 + (19^3) + (17*2) + (7*5) + 13 + 11,180244459 + (19^3) + (17*2) + (7*5) + 13 + 11,4,4,3
7457,180251411,180251413,180251411,2,180251411 + 2,,,,,,
7457,180251411,180251417,180251411,6,180251411 + (2*3),,,,,,
7457,180251411,180251419,180251417,2,180251417 + 2,,,,,,
7458,180271571,180271571,180251419,20152,180251419 + 19429 + 199 + 197 + 193 + 109 + 19 + (2*3),180251419 + (9439*2) + (199*5) + (19*13) + (7*3) + 11,180251419 + (109^2) + (19^3) + (199*5) + (17*11) + 107 + 103 + 13 + 7,180251419 + (7^5) + (13^3) + (19^2) + (17*11) + 199 + 197 + 103 + 101,4,3,3
7458,180271571,180271573,180271571,2,180271571 + 2,,,,,,
7458,180271571,180271577,180271571,6,180271571 + (2*3),,,,,,
7458,180271571,180271579,180271577,2,180271577 + 2,,,,,,
7459,180276401,180276401,180271579,4822,180271579 + 3469 + 829 + 199 + 197 + 109 + 19,180271579 + (2089*2) + (199*3) + 19 + 17 + 11,180271579 + (19^2) + (13^3) + (199*7) + (109*5) + 197 + 101 + 17 + 11,180271579 + (13^3) + (2^11) + (17*5) + 193 + 191 + 101 + 7,6,5,4
7459,180276401,180276403,180276401,2,180276401 + 2,,,,,,
7459,180276401,180276407,180276401,6,180276401 + (2*3),,,,,,
7459,180276401,180276409,180276407,2,180276407 + 2,,,,,,
7460,180334571,180334571,180276409,58162,180276409 + 55339 + 2089 + 199 + 197 + 193 + 109 + 19 + 17,180276409 + (25309*2) + (2089*3) + (199*5) + (19*13) + 17 + 11 + 7,180276409 + (199^2) + (19^3) + (2089*5) + (109*7) + (17*11) + 193 + 101 + 13,180276409 + (199^2) + (7^5) + (197*3) + (103*11) + 17 + 13,4,4,4
7460,180334571,180334573,180334571,2,180334571 + 2,,,,,,
7460,180334571,180334577,180334571,6,180334571 + (2*3),,,,,,
7460,180334571,180334579,180334577,2,180334577 + 2,,,,,,
7461,180344831,180344831,180334579,10252,180334579 + 9439 + 199 + 197 + 193 + 191 + 19 + 7 + 5 + 2,180334579 + (3469*2) + (829*3) + (109*5) + (19*13) + 17 + 11 + 7,180334579 + (101^2) + (17*3),180334579 + (101^2) + (17*3),2,2,2
7461,180344831,180344833,180344831,2,180344831 + 2,,,,,,
7461,180344831,180344837,180344831,6,180344831 + (2*3),,,,,,
7461,180344831,180344839,180344837,2,180344837 + 2,,,,,,
7462,180347261,180347261,180344839,2422,180344839 + 2089 + 199 + 109 + 19 + (2*3),180344839 + (829*2) + (199*3) + (17*7) + 19 + 13 + 11 + 5,180344839 + (19^2) + (11^3) + (103*5) + (13*7) + 107 + 17,180344839 + (13^3) + (11^2) + (17*5) + 19,4,4,4
7462,180347261,180347263,180347261,2,180347261 + 2,,,,,,
7462,180347261,180347267,180347261,6,180347261 + (2*3),,,,,,
7462,180347261,180347269,180347267,2,180347267 + 2,,,,,,
7463,180361631,180361631,180347269,14362,180347269 + 13009 + 829 + 199 + 197 + 109 + 19,180347269 + (5659*2) + (829*3) + (19*17) + (7*5) + 199,180347269 + (109^2) + (13^3) + (17*5) + (11*7) + 103 + 19,180347269 + (109^2) + (13^3) + (17*5) + (11*7) + 103 + 19,4,4,4
7463,180361631,180361633,180361631,2,180361631 + 2,,,,,,
7463,180361631,180361637,180361631,6,180361631 + (2*3),,,,,,
7463,180361631,180361639,180361637,2,180361637 + 2,,,,,,
7464,180365321,180365321,180361639,3682,180361639 + 3469 + 199 + 7 + 5 + 2,180361639 + (1489*2) + (199*3) + (13*7) + 11 + 5,180361639 + (19^2) + (13^3) + (199*5) + 101 + 17 + 11,180361639 + (13^3) + (19^2) + (199*5) + 101 + 17 + 11,4,3,3
7464,180365321,180365323,180365321,2,180365321 + 2,,,,,,
7464,180365321,180365327,180365321,6,180365321 + (2*3),,,,,,
7464,180365321,180365329,180365327,2,180365327 + 2,,,,,,
7465,180372551,180372551,180365329,7222,180365329 + 5659 + 1489 + 19 + 17 + (5*7) + 3,180365329 + (3469*2) + (19*13) + (7*3) + 11 + 5,180365329 + (19^3) + (13^2) + (17*11) + 7,180365329 + (19^3) + (13^2) + (17*11) + 7,4,4,4
7465,180372551,180372553,180372551,2,180372551 + 2,,,,,,
7465,180372551,180372557,180372551,6,180372551 + (2*3),,,,,,
7465,180372551,180372559,180372557,2,180372557 + 2,,,,,,
7466,180385781,180385781,180372559,13222,180372559 + 13009 + 199 + 7 + 5 + 2,180372559 + (5659*2) + (199*7) + (109*3) + (13*11) + 19 + 17 + 5,180372559 + (109^2) + (7^3) + (197*5) + 13,180372559 + (109^2) + (7^3) + (197*5) + 13,4,3,3
7466,180385781,180385783,180385781,2,180385781 + 2,,,,,,
7466,180385781,180385787,180385781,6,180385781 + (2*3),,,,,,
7466,180385781,180385789,180385787,2,180385787 + 2,,,,,,
7467,180448781,180448781,180385789,62992,180385789 + 62989 + 3,180385789 + (25309*2) + (3469*3) + (199*7) + (19*17) + (13*11) + 103 + 5,180385789 + (199^2) + (19^3) + (3259*5) + (17*7) + 107 + 11,180385789 + (199^2) + (7^5) + (17^3) + (103*13) + 193 + 109 + 19 + 11,2,2,2
7467,180448781,180448783,180448781,2,180448781 + 2,,,,,,
7467,180448781,180448787,180448781,6,180448781 + (2*3),,,,,,
7467,180448781,180448789,180448787,2,180448787 + 2,,,,,,
7468,180584771,180584771,180448789,135982,180448789 + 135469 + 199 + 197 + 109 + 5 + 3,180448789 + (67219*2) + (199*7) + (19*5) + (13*3) + 17,180448789 + (199^2) + (19^3) + (7^5) + (5659*11) + (197*17) + (193*13) + 1483 + 1481 + 823 + 821,180448789 + (2^17) + (13^3) + (199*11) + (101*5) + 19,4,3,3
7468,180584771,180584773,180584771,2,180584771 + 2,,,,,,
7468,180584771,180584777,180584771,6,180584771 + (2*3),,,,,,
7468,180584771,180584779,180584777,2,180584777 + 2,,,,,,
7469,180598541,180598541,180584779,13762,180584779 + 13009 + 199 + 197 + 193 + 109 + 19 + 17 + (2*7) + 5,180584779 + (5659*2) + (199*11) + (19*13) + 5 + 3,180584779 + (109^2) + (11^3) + (19*13) + 197 + 101 + 5,180584779 + (109^2) + (11^3) + (19*13) + 197 + 101 + 5,6,5,4
7469,180598541,180598543,180598541,2,180598541 + 2,,,,,,
7469,180598541,180598547,180598541,6,180598541 + (2*3),,,,,,
7469,180598541,180598549,180598547,2,180598547 + 2,,,,,,
7470,180616691,180616691,180598549,18142,180598549 + 18047 + 19 + 17 + 13 + 11 + (5*7),180598549 + (5659*3) + (199*5) + (19*7) + (13*2) + 11,180598549 + (109^2) + (17^3) + (199*5) + (13*11) + 191 + 19,180598549 + (7^5) + (19^2) + (193*3) + (17*11) + 107 + 101,2,2,2
7470,180616691,180616693,180616691,2,180616691 + 2,,,,,,
7470,180616691,180616697,180616691,6,180616691 + (2*3),,,,,,
7470,180616691,180616699,180616697,2,180616697 + 2,,,,,,
7471,180646721,180646721,180616699,30022,180616699 + 25309 + 3469 + 829 + 199 + 197 + 19,180616699 + (13009*2) + (829*3) + (199*7) + 107 + 17,180616699 + (109^2) + (19^3) + (2089*5) + (17*13) + 199 + 191 + 107 + 101 + 11 + 7,180616699 + (7^5) + (109^2) + (199*3) + (19*17) + 197 + 193 + 13 + 11,4,4,4
7471,180646721,180646723,180646721,2,180646721 + 2,,,,,,
7471,180646721,180646727,180646721,6,180646721 + (2*3),,,,,,
7471,180646721,180646729,180646727,2,180646727 + 2,,,,,,
7472,180649451,180649451,180646729,2722,180646729 + 2089 + 199 + 197 + 193 + 19 + 17 + 5 + 3,180646729 + (829*3) + (109*2) + 17,180646729 + (19^2) + (13^3) + (11*5) + 109,180646729 + (13^3) + (19^2) + (11*5) + 109,4,3,3
7472,180649451,180649453,180649451,2,180649451 + 2,,,,,,
7472,180649451,180649457,180649451,6,180649451 + (2*3),,,,,,
7472,180649451,180649459,180649457,2,180649457 + 2,,,,,,
7473,180656891,180656891,180649459,7432,180649459 + 5659 + 1489 + 199 + 19 + 17 + 11 + (5*7) + 3,180649459 + (3469*2) + (109*3) + (17*7) + 19 + 13 + 11 + 5,180649459 + (19^3) + (17^2) + (13*7) + 193,180649459 + (19^3) + (17^2) + (13*7) + 193,4,4,4
7473,180656891,180656893,180656891,2,180656891 + 2,,,,,,
7473,180656891,180656897,180656891,6,180656891 + (2*3),,,,,,
7473,180656891,180656899,180656897,2,180656897 + 2,,,,,,
7474,180657221,180657221,180656899,322,180656899 + 199 + 109 + 7 + 5 + 2,180656899 + (109*2) + (17*5) + 19,180656899 + (17^2) + (11*3),180656899 + (17^2) + (11*3),4,3,3
7474,180657221,180657223,180657221,2,180657221 + 2,,,,,,
7474,180657221,180657227,180657221,6,180657221 + (2*3),,,,,,
7474,180657221,180657229,180657227,2,180657227 + 2,,,,,,
